timestamp_ns,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
1778454738309213003,-0.43763893153647604,-1.1278422926514462,0.0,2.9895122964942534e-19,-2.328782819422249e-18,4.245527937129108e-06
1778454738319186115,-0.43763893153647604,-1.1278422926514462,0.0,7.035800607577098e-24,-2.1220453959279956e-18,1.0398988765090208e-11
1778454738329238635,-0.43763893153647604,-1.1278422926514462,0.0,3.009212944933237e-19,-2.3022724142460406e-18,-3.8080109920147514e-06
1778454738349245897,-0.43763893153647604,-1.1278422926514462,0.0,2.9975088393909665e-19,-2.274583795272271e-18,-5.583133609463248e-07
1778454738369258825,-0.43763893153647604,-1.1278422926514462,0.0,3.056068655937235e-19,-2.250508023135692e-18,2.814876262605533e-06
1778454738389318975,-0.43763893153647604,-1.1278422926514462,0.0,3.0253104593091715e-19,-2.222670380686504e-18,-5.781515447046017e-07
1778454738409276459,-0.43763893153647604,-1.1278422926514462,0.0,2.964288887411815e-19,-2.1939589860978496e-18,9.071444911455608e-06
1778454738429258294,-0.43763893153647604,-1.1278422926514462,0.0,2.948970156454583e-19,-2.166306430549411e-18,-7.86836355202969e-06
1778454738449256945,-0.43763893153647604,-1.1278422926514462,0.0,2.9539856964848098e-19,-2.1416919978271034e-18,-3.4029109462881496e-07
1778454738469239873,-0.43763893153647604,-1.1278422926514462,0.0,2.9349055002150113e-19,-2.1139847515593744e-18,7.350440631420634e-06
1778454738489297801,-0.43763893153647604,-1.1278422926514462,0.0,2.8635090037611085e-19,-2.0860923002954575e-18,7.265443335977531e-06
1778454738509294007,-0.43763893153647604,-1.1278422926514462,0.0,2.9086918767354237e-19,-2.0633448187075316e-18,5.456292588354807e-06
1778454738529271787,-0.43763893153647604,-1.1278422926514462,0.0,2.928515886933151e-19,-2.0397287032219194e-18,4.020198481391489e-06
1778454738549296456,-0.43763893153647604,-1.1278422926514462,0.0,2.874098823766744e-19,-2.014251145867029e-18,2.4617007347945567e-06
1778454738569271625,-0.43763893153647604,-1.1278422926514462,0.0,2.885232802342463e-19,-1.990178735641713e-18,4.845085766556772e-06
1778454738589279997,-0.43763893153647604,-1.1278422926514462,0.0,2.981161917440126e-19,-1.9725379713412072e-18,6.431958042905051e-06
1778454738609272129,-0.43763893153647604,-1.1278422926514462,0.0,2.951411186815341e-19,-1.9473508803607317e-18,7.15520548548225e-07
1778454738629254743,-0.43763893153647604,-1.1278422926514462,0.0,2.988622866347876e-19,-1.9271739437241556e-18,5.775793408127358e-06
1778454738649246226,-0.43763893153647604,-1.1278422926514462,0.0,2.9607634296713967e-19,-1.9026546607468366e-18,1.2823709090970905e-05
1778454738669255691,-0.43763893153647604,-1.1278422926514462,0.0,2.890379097646893e-19,-1.87760438710061e-18,-6.7777949775619534e-06
1778454738689254027,-0.43763893153647604,-1.1278422926514462,0.0,2.7586805532702525e-19,-1.8480897244002073e-18,-2.2528738143611974e-06
1778454738709280770,-0.43763893153647604,-1.1278422926514462,0.0,5.503178434998631e-24,-1.6601540990974693e-18,-5.517922518407661e-12
1778454738719221901,-0.43763893153647604,-1.1278422926514462,0.0,2.749760903962907e-19,-1.824836427349652e-18,3.697043511556397e-06
1778454738729268680,-0.43763893153647604,-1.1278422926514462,0.0,5.432509935489236e-24,-1.6386724783631198e-18,9.052753807879351e-12
1778454738739241681,-0.43763893153647604,-1.1278422926514462,0.0,2.734016612438807e-19,-1.802411349527008e-18,-1.1974454954529207e-06
1778454738749288682,-0.43763893153647604,-1.1278422926514462,0.0,5.362797486863535e-24,-1.6173143088515334e-18,-2.9341999364648817e-12
1778454738759295479,-0.43763893153647604,-1.1278422926514462,0.0,2.7879146751621705e-19,-1.7842804392339656e-18,-4.34281699697453e-06
1778454738769221851,-0.43763893153647604,-1.1278422926514462,0.0,5.2939176354713474e-24,-1.5968205001224996e-18,-1.0632322230418891e-11
1778454738779198222,-0.43763893153647604,-1.1278422926514462,0.0,2.789386180874024e-19,-1.7638748315209398e-18,1.820653691231875e-05
1778454738789228205,-0.43763893153647604,-1.1278422926514462,0.0,5.2260506575999326e-24,-1.5756498990075266e-18,4.466040085559825e-11
